#Polarisationswinkel in °, Intensität-Minimum in mV, Intensität-Maximum in mV
0	912	914
10	531	903
20	260	814
30	129	734
35	90	731
40	59	741
45	41	774
50	27	852
55	42	914
60	53	990
70	168	1093
80	456	1211
90	874	1071
100	1444	822
110	1970	499
120	2440	260
130	2870	123
135	130	2800
140	2770	175
150	2420	385
160	1870	595
170	1410	822
180	892	865
