#x-axis,1,2
#second,Volt,Volt
-8.83000E-03,+381.90954E-03,-562.81406E-03
-8.82000E-03,+365.57789E-03,-562.81406E-03
-8.81000E-03,+402.01005E-03,-584.17085E-03
-8.80000E-03,+400.75376E-03,-623.11557E-03
-8.79000E-03,+361.80904E-03,-639.44723E-03
-8.78000E-03,+395.72864E-03,-608.04019E-03
-8.77000E-03,+402.01005E-03,-634.42210E-03
-8.76000E-03,+402.01005E-03,-623.11557E-03
-8.75000E-03,+402.01005E-03,-603.01507E-03
-8.74000E-03,+405.77889E-03,-603.01507E-03
-8.73000E-03,+402.01005E-03,-604.27135E-03
-8.72000E-03,+422.11055E-03,-582.91457E-03
-8.71000E-03,+402.01005E-03,-579.14572E-03
-8.70000E-03,+402.01005E-03,-582.91457E-03
-8.69000E-03,+422.11055E-03,-603.01507E-03
-8.68000E-03,+430.90452E-03,-613.06532E-03
-8.67000E-03,+422.11055E-03,-643.21607E-03
-8.66000E-03,+437.18592E-03,-623.11557E-03
-8.65000E-03,+439.69849E-03,-623.11557E-03
-8.64000E-03,+440.95477E-03,-621.85929E-03
-8.63000E-03,+442.21105E-03,-619.34673E-03
-8.62000E-03,+432.16080E-03,-596.73366E-03
-8.61000E-03,+453.51758E-03,-594.22110E-03
-8.60000E-03,+442.21105E-03,-603.01507E-03
-8.59000E-03,+442.21105E-03,-603.01507E-03
-8.58000E-03,+457.28643E-03,-603.01507E-03
-8.57000E-03,+443.46733E-03,-603.01507E-03
-8.56000E-03,+461.05527E-03,-603.01507E-03
-8.55000E-03,+444.72361E-03,-619.34673E-03
-8.54000E-03,+467.33668E-03,-608.04019E-03
-8.53000E-03,+462.31155E-03,-590.45225E-03
-8.52000E-03,+472.36180E-03,-603.01507E-03
-8.51000E-03,+456.03015E-03,-609.29648E-03
-8.50000E-03,+462.31155E-03,-623.11557E-03
-8.49000E-03,+463.56783E-03,-620.60301E-03
-8.48000E-03,+462.31155E-03,-603.01507E-03
-8.47000E-03,+482.41206E-03,-603.01507E-03
-8.46000E-03,+482.41206E-03,-608.04019E-03
-8.45000E-03,+482.41206E-03,-603.01507E-03
-8.44000E-03,+492.46231E-03,-603.01507E-03
-8.43000E-03,+482.41206E-03,-615.57788E-03
-8.42000E-03,+486.18090E-03,-618.09045E-03
-8.41000E-03,+502.51256E-03,-603.01507E-03
-8.40000E-03,+502.51256E-03,-623.11557E-03
-8.39000E-03,+498.74371E-03,-623.11557E-03
-8.38000E-03,+502.51256E-03,-608.04019E-03
-8.37000E-03,+502.51256E-03,-618.09045E-03
-8.36000E-03,+522.61306E-03,-623.11557E-03
-8.35000E-03,+515.07537E-03,-603.01507E-03
-8.34000E-03,+517.58793E-03,-613.06532E-03
-8.33000E-03,+503.76884E-03,-584.17085E-03
-8.32000E-03,+522.61306E-03,-582.91457E-03
-8.31000E-03,+522.61306E-03,-603.01507E-03
-8.30000E-03,+522.61306E-03,-603.01507E-03
