#R1 = 47 k Ohm, R2 = 100 k Ohm, U_in_pp = 149 mV
#Freq Hz, Phase/grad, Spannung/V
50, 180, 0.31
100, 180, 0.31
1500, 180, 0.31
3000, 180, 0.31
10000, 175, 0.31
20000, 174, 0.31
50000, 170, 0.31
100000, 160, 0.31
500000, 50, 0.2
1000000, 4, 0.07
