#R1 = 47 k Ohm, R2 = 220 k Ohm, U_in_pp = 149 mV
#Freq Hz, Phase/grad, Spannung/V
50, 180, 0.700
100, 180, 0.700
1500, 176, 0.700
3000, 175, 0.700
10000, 173, 0.700
20000, 171, 0.700
50000, 162, 0.680
100000, 142, 0.660
500000, 30, 0.220
