x-axis,1,2
second,Volt,Volt
-25.00000E-03,+1.44472360E+00,-14.38724884E+00
-24.97500E-03,+1.43969848E+00,-14.36212321E+00
-24.95000E-03,+1.43467335E+00,-14.24905789E+00
-24.92500E-03,+1.42211054E+00,-12.95508803E+00
-24.90000E-03,+1.40703516E+00,-5.64353018E+00
-24.87500E-03,+1.41959797E+00,+3.66551512E+00
-24.85000E-03,+1.43718591E+00,+12.81124383E+00
-24.82500E-03,+1.40954772E+00,+13.74089208E+00
-24.80000E-03,+1.40703516E+00,+13.92933429E+00
-24.77500E-03,+1.40703516E+00,+13.94189711E+00
-24.75000E-03,+1.39447235E+00,+13.74089208E+00
-24.72500E-03,+1.36683416E+00,+13.94189711E+00
-24.70000E-03,+1.32663315E+00,+13.64038957E+00
-24.67500E-03,+1.35175878E+00,+13.74089208E+00
-24.65000E-03,+1.33417084E+00,+13.74089208E+00
-24.62500E-03,+1.32663315E+00,+13.71576645E+00
-24.60000E-03,+1.32412059E+00,+13.72832927E+00
-24.57500E-03,+1.27889446E+00,+13.74089208E+00
-24.55000E-03,+1.25628139E+00,+13.59013831E+00
-24.52500E-03,+1.22110551E+00,+13.74089208E+00
-24.50000E-03,+1.24623114E+00,+13.74089208E+00
-24.47500E-03,+1.20603014E+00,+13.86652022E+00
-24.45000E-03,+1.16582913E+00,+13.57757550E+00
-24.42500E-03,+1.16080401E+00,+13.74089208E+00
-24.40000E-03,+1.16331657E+00,+13.74089208E+00
-24.37500E-03,+1.12562813E+00,+13.74089208E+00
-24.35000E-03,+1.09547738E+00,+13.87908304E+00
-24.32500E-03,+1.04522612E+00,+13.74089208E+00
-24.30000E-03,+1.08542712E+00,+13.74089208E+00
-24.27500E-03,+1.03266331E+00,+13.60270113E+00
-24.25000E-03,+1.01256280E+00,+13.74089208E+00
-24.22500E-03,+964.82411E-03,+13.75345490E+00
-24.20000E-03,+964.82411E-03,+13.74089208E+00
-24.17500E-03,+924.62311E-03,+13.74089208E+00
-24.15000E-03,+934.67336E-03,+13.74089208E+00
-24.12500E-03,+884.42210E-03,+13.69064083E+00
-24.10000E-03,+884.42210E-03,+13.74089208E+00
-24.07500E-03,+831.65828E-03,+13.94189711E+00
-24.05000E-03,+834.17085E-03,+13.74089208E+00
-24.02500E-03,+766.33165E-03,+13.71576645E+00
-24.00000E-03,+763.81909E-03,+13.53988706E+00
-23.97500E-03,+723.61808E-03,+13.74089208E+00
-23.95000E-03,+693.46733E-03,+13.79114334E+00
-23.92500E-03,+683.41708E-03,+13.74089208E+00
